Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,Model,Model,0.OnRunInitialized,[Begin],Process 'OnRunInitialized' execution started.
0,Model,Model,0.OnRunInitialized,[Delay] Delay2,Delaying token for '0.000277777777777778' Hours until time '0.000277777777777778' Hours.
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Firing event 'Timer1.Event'.
0,--,--,--,--,Firing event 'Source1.EntityArrivals.Event'.
0,Source1,Source1,1.OnEntityArrival,[Begin],Process 'Source1.OnEntityArrival' execution started.
0,Source1,Source1,1.OnEntityArrival,[Create] Entities,Creating '1' object(s) of entity type 'DefaultEntity' using creation method 'NewObject'.
0,--,--,--,--,Object 'DefaultEntity.16' created.
0,DefaultEntity.16,Source1,2.OnEntityArrival,[Transfer] ToProcessing,Entity 'DefaultEntity.16' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0,Source1,Source1,1.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.16,Source1,3.OnEnteredProcessing,[Begin],Process 'Source1.OnEnteredProcessing' execution started.
0,DefaultEntity.16,Source1,3.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'DefaultEntity.16' ending transfer into station 'Source1.Processing'.
0,DefaultEntity.16,Source1,3.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'DefaultEntity.16' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0,DefaultEntity.16,Source1,2.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.16,Source1,1.OnEnteredOutputBuffer,[Begin],Process 'Source1.OnEnteredOutputBuffer' execution started.
0,DefaultEntity.16,Source1,1.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'DefaultEntity.16' ending transfer into station 'Source1.OutputBuffer'.
0,DefaultEntity.16,Source1,1.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'DefaultEntity.16' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0,DefaultEntity.16,Output@Source1,2.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0,DefaultEntity.16,Output@Source1,2.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Source1.Entered'.
0,DefaultEntity.16,Output@Source1,2.OnEnteredFromAssociatedObject,[Transfer] ToOutboundLink,Entity 'DefaultEntity.16' transferring from '[Node] Output@Source1' onto link 'Path1'.
0,DefaultEntity.16,Path1,4.OnEntered,[Begin],Process 'Path1.OnEntered' execution started.
0,DefaultEntity.16,Path1,4.OnEntered,[Assign] EntityMovementRate,Assigning state variable 'DefaultEntity.16.Movement.Rate' the value '5040' Meters per Hour.
0,DefaultEntity.16,Path1,4.OnEntered,[EndTransfer] OntoPath,Entity 'DefaultEntity.16' ending transfer onto link 'Path1'.
0,DefaultEntity.16,Path1,4.OnEntered,[End],Process 'Path1.OnEntered' execution ended.
0,DefaultEntity.16,Source1,3.OnEnteredProcessing,[End],Process 'Source1.OnEnteredProcessing' execution ended.
0,DefaultEntity.16,Source1,1.OnEnteredOutputBuffer,[End],Process 'Source1.OnEnteredOutputBuffer' execution ended.
0,DefaultEntity.16,Output@Source1,2.OnEnteredFromAssociatedObject,[End],Process 'Output@Source1.OnEnteredFromAssociatedObject' execution ended.
9.92063492063492E-05,DefaultEntity.16,Output@Source1,2.OnExited,[Begin],Process 'Output@Source1.OnExited' execution started.
9.92063492063492E-05,DefaultEntity.16,Output@Source1,2.OnExited,[Fire] ExitedEvent,Firing event 'Output@Source1.Exited'.
9.92063492063492E-05,DefaultEntity.16,Output@Source1,2.OnExited,[End],Process 'Output@Source1.OnExited' execution ended.
0.000277777777777778,Model,Model,0.OnRunInitialized,[Decide] Decide2,Token branching on condition 'True'.
0.000277777777777778,Model,Model,0.OnRunInitialized,[Decide] Decide2,Token sent to 'True' exit.
0.000277777777777778,Model,Model,0.OnRunInitialized,[Delay] Delay2,Delaying token for '0.000277777777777778' Hours until time '0.000555555555555556' Hours.
0.000555555555555556,Model,Model,0.OnRunInitialized,[Decide] Decide2,Token branching on condition 'True'.
0.000555555555555556,Model,Model,0.OnRunInitialized,[Decide] Decide2,Token sent to 'True' exit.
0.000555555555555556,Model,Model,0.OnRunInitialized,[Delay] Delay2,Delaying token for '0.000277777777777778' Hours until time '0.000833333333333333' Hours.
0.000833333333333333,Model,Model,0.OnRunInitialized,[Decide] Decide2,Token branching on condition 'True'.
0.000833333333333333,Model,Model,0.OnRunInitialized,[Decide] Decide2,Token sent to 'True' exit.
0.000833333333333333,Model,Model,0.OnRunInitialized,[Delay] Delay2,Delaying token for '0.000277777777777778' Hours until time '0.00111111111111111' Hours.
0.00111111111111111,Model,Model,0.OnRunInitialized,[Decide] Decide2,Token branching on condition 'True'.
0.00111111111111111,Model,Model,0.OnRunInitialized,[Decide] Decide2,Token sent to 'True' exit.
0.00111111111111111,Model,Model,0.OnRunInitialized,[Delay] Delay2,Delaying token for '0.000277777777777778' Hours until time '0.00138888888888889' Hours.
0.00130952380952381,DefaultEntity.16,Path1,2.OnReachedEnd,[Begin],Process 'Path1.OnReachedEnd' execution started.
0.00130952380952381,DefaultEntity.16,Path1,2.OnReachedEnd,[Transfer] FromPath,Entity 'DefaultEntity.16' transferring from '[EndOfLink] Path1' into node 'Input@Server1'.
0.00130952380952381,DefaultEntity.16,Input@Server1,1.OnEnteredToAssociatedObject,[Begin],Process 'Input@Server1.OnEnteredToAssociatedObject' execution started.
0.00130952380952381,DefaultEntity.16,Input@Server1,1.OnEnteredToAssociatedObject,[Fire] EnteredEvent,Firing event 'Input@Server1.Entered'.
0.00130952380952381,DefaultEntity.16,Input@Server1,1.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'DefaultEntity.16' transferring from '[Node] Input@Server1' into object 'Server1'.
0.00130952380952381,DefaultEntity.16,Input@Server1,1.OnEnteredToAssociatedObject,[Transfer] ToAssociatedObject,Entity 'DefaultEntity.16' transferring from '[Node] Input@Server1' into station 'Server1.InputBuffer'.
0.00130952380952381,DefaultEntity.16,Server1,3.OnEnteredInputBuffer,[Begin],Process 'Server1.OnEnteredInputBuffer' execution started.
0.00130952380952381,DefaultEntity.16,Server1,3.OnEnteredInputBuffer,[EndTransfer] IntoInputBuffer,Entity 'DefaultEntity.16' ending transfer into station 'Server1.InputBuffer'.
0.00130952380952381,DefaultEntity.16,Input@Server1,4.OnExited,[Begin],Process 'Input@Server1.OnExited' execution started.
