Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,Model,Model,0.OnRunInitialized,[Begin],Process 'OnRunInitialized' execution started.
0,Model,Model,0.OnRunInitialized,[Delay] Delay2,Delaying token for '2.77777777777778E-05' Hours until time '2.77777777777778E-05' Hours.
0,--,--,--,--,Firing event 'Timer1.Event'.
0,--,--,--,--,Firing event 'Source1.EntityArrivals.Event'.
0,Source1,Source1,1.OnEntityArrival,[Begin],Process 'Source1.OnEntityArrival' execution started.
0,Source1,Source1,1.OnEntityArrival,[Create] Entities,Creating '1' new object(s) of entity type 'DefaultEntity'.
0,Source1,Source1,1.OnEntityArrival,[Create] Entities,Created object 'DefaultEntity.16'.
0,DefaultEntity.16,Source1,2.OnEntityArrival,[Transfer] ToProcessing,Entity 'DefaultEntity.16' transferring from '[FreeSpace] Source1' into station 'Source1.Processing'.
0,Source1,Source1,1.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.16,Source1,3.OnEnteredProcessing,[Begin],Process 'Source1.OnEnteredProcessing' execution started.
0,DefaultEntity.16,Source1,3.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'DefaultEntity.16' ending transfer into station 'Source1.Processing'.
0,DefaultEntity.16,Source1,3.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'DefaultEntity.16' transferring from '[Station] Source1.Processing' into station 'Source1.OutputBuffer'.
0,DefaultEntity.16,Source1,2.OnEntityArrival,[End],Process 'Source1.OnEntityArrival' execution ended.
0,DefaultEntity.16,Source1,1.OnEnteredOutputBuffer,[Begin],Process 'Source1.OnEnteredOutputBuffer' execution started.
0,DefaultEntity.16,Source1,1.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'DefaultEntity.16' ending transfer into station 'Source1.OutputBuffer'.
0,DefaultEntity.16,Source1,1.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'DefaultEntity.16' transferring from '[Station] Source1.OutputBuffer' into node 'Output@Source1'.
0,DefaultEntity.16,Output@Source1,2.OnEnteredFromAssociatedObject,[Begin],Process 'Output@Source1.OnEnteredFromAssociatedObject' execution started.
0,DefaultEntity.16,Output@Source1,2.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@Source1.Entered'.
